algorithm,time_elapsed,coverage_type,category,mean,std,min,max,sample_size
collaborative,2,code,global,82.57322306350359,20.4260478399707,26.035678889990088,99.8330550918197,124
collaborative,2,code,large,82.57322306350359,20.4260478399707,26.035678889990088,99.8330550918197,124
collaborative,4,code,global,84.0092336236743,19.463742187397514,26.035678889990088,99.84276729559748,125
collaborative,4,code,large,84.0092336236743,19.463742187397514,26.035678889990088,99.84276729559748,125
collaborative,6,code,global,85.54750949743334,18.527860410119462,31.74430128840436,99.86807387862797,125
collaborative,6,code,large,85.54750949743334,18.527860410119462,31.74430128840436,99.86807387862797,125
collaborative,8,code,global,85.93849887641683,18.29028616232333,31.74430128840436,99.86807387862797,125
collaborative,8,code,large,85.93849887641683,18.29028616232333,31.74430128840436,99.86807387862797,125
collaborative,10,code,global,86.44211626605025,17.876711088948245,33.1219028741328,99.86807387862797,125
collaborative,10,code,large,86.44211626605025,17.876711088948245,33.1219028741328,99.86807387862797,125
collaborative,12,code,global,86.61894975286022,17.860777144231054,33.1219028741328,99.86807387862797,125
collaborative,12,code,large,86.61894975286022,17.860777144231054,33.1219028741328,99.86807387862797,125
collaborative,14,code,global,86.63663505972508,17.83035293922165,33.1219028741328,99.86807387862797,125
collaborative,14,code,large,86.63663505972508,17.83035293922165,33.1219028741328,99.86807387862797,125
collaborative,16,code,global,86.75853862707775,17.809457114727692,33.1219028741328,99.86807387862797,125
collaborative,16,code,large,86.75853862707775,17.809457114727692,33.1219028741328,99.86807387862797,125
collaborative,18,code,global,86.91195545310154,17.81983988450029,33.1219028741328,99.86807387862797,125
collaborative,18,code,large,86.91195545310154,17.81983988450029,33.1219028741328,99.86807387862797,125
collaborative,20,code,global,87.23326939003142,17.8212888001863,33.522504892367905,99.86807387862797,125
collaborative,20,code,large,87.23326939003142,17.8212888001863,33.522504892367905,99.86807387862797,125
collaborative,22,code,global,87.23477032811772,17.819301016715293,33.522504892367905,99.86807387862797,125
collaborative,22,code,large,87.23477032811772,17.819301016715293,33.522504892367905,99.86807387862797,125
collaborative,24,code,global,87.25828703150148,17.801653717250392,33.522504892367905,99.86807387862797,125
collaborative,24,code,large,87.25828703150148,17.801653717250392,33.522504892367905,99.86807387862797,125
collaborative,26,code,global,87.38446618732716,17.67006292267594,33.522504892367905,99.86807387862797,125
collaborative,26,code,large,87.38446618732716,17.67006292267594,33.522504892367905,99.86807387862797,125
collaborative,28,code,global,87.38446618732715,17.67006292267594,33.522504892367905,99.86807387862797,125
collaborative,28,code,large,87.38446618732715,17.67006292267594,33.522504892367905,99.86807387862797,125
collaborative,30,code,global,87.38802222828673,17.668177428935717,33.522504892367905,99.86807387862797,125
collaborative,30,code,large,87.38802222828673,17.668177428935717,33.522504892367905,99.86807387862797,125
collaborative,32,code,global,87.49516274242056,17.612702183385572,33.522504892367905,99.86807387862797,125
collaborative,32,code,large,87.49516274242056,17.612702183385572,33.522504892367905,99.86807387862797,125
collaborative,34,code,global,87.49923843383255,17.605800550395003,33.522504892367905,99.86807387862797,125
collaborative,34,code,large,87.49923843383255,17.605800550395003,33.522504892367905,99.86807387862797,125
collaborative,36,code,global,87.5805929965019,17.63552495661472,33.522504892367905,99.86807387862797,125
collaborative,36,code,large,87.5805929965019,17.63552495661472,33.522504892367905,99.86807387862797,125
collaborative,38,code,global,87.58059299650192,17.635524956614724,33.522504892367905,99.86807387862797,125
collaborative,38,code,large,87.58059299650192,17.635524956614724,33.522504892367905,99.86807387862797,125
collaborative,40,code,global,87.6578034956167,17.60739318696763,33.522504892367905,99.86807387862797,125
collaborative,40,code,large,87.6578034956167,17.60739318696763,33.522504892367905,99.86807387862797,125
collaborative,42,code,global,87.74609084595508,17.560018180462137,33.522504892367905,99.86807387862797,125
collaborative,42,code,large,87.74609084595508,17.560018180462137,33.522504892367905,99.86807387862797,125
collaborative,44,code,global,87.92671950157074,17.512052928235978,33.522504892367905,99.86807387862797,125
collaborative,44,code,large,87.92671950157074,17.512052928235978,33.522504892367905,99.86807387862797,125
collaborative,46,code,global,87.92822043965704,17.5099866801326,33.522504892367905,99.86807387862797,125
collaborative,46,code,large,87.92822043965704,17.5099866801326,33.522504892367905,99.86807387862797,125
collaborative,48,code,global,87.94150107206809,17.504177289067588,33.522504892367905,99.86807387862797,125
collaborative,48,code,large,87.94150107206809,17.504177289067588,33.522504892367905,99.86807387862797,125
collaborative,50,code,global,87.76107791881978,17.56686390103488,33.522504892367905,99.86807387862797,126
collaborative,50,code,small,63.114754098360656,0,63.114754098360656,63.114754098360656,1
collaborative,50,code,large,87.95824850938345,17.497572932019335,33.522504892367905,99.86807387862797,125
collaborative,52,code,global,87.91285173425568,17.34351573525457,33.522504892367905,99.86807387862797,126
collaborative,52,code,small,63.114754098360656,0,63.114754098360656,63.114754098360656,1
collaborative,52,code,large,88.11123651534284,17.26977118178619,33.522504892367905,99.86807387862797,125
collaborative,54,code,global,88.04454924586585,17.177573599156602,33.522504892367905,99.86807387862797,126
