algorithm,time_elapsed,coverage_type,mean,std,min,max,sample_size
confuzzius,2.0,code,81.0937769656706,19.405873695962434,33.358098068350664,99.72752043596729,105
confuzzius,2.0,branch,81.20660357865138,17.109167795227663,0.0,100.0,105
confuzzius,4.0,code,81.92367628561556,18.947312442753432,33.358098068350664,99.8330550918197,105
confuzzius,4.0,branch,81.8185746775152,16.952360006092018,0.0,100.0,105
confuzzius,6.0,code,82.23361244462737,18.91491289492552,33.506686478454675,99.8330550918197,106
confuzzius,6.0,branch,82.29563941487592,17.056361928073976,0.0,100.0,106
confuzzius,8.0,code,82.63833811675994,18.723949334721443,33.68711526215241,99.8330550918197,107
confuzzius,8.0,branch,82.68831376074905,16.93515263942082,0.0,100.0,107
confuzzius,10.0,code,83.00212958260174,18.602607385575787,33.68711526215241,99.8330550918197,107
confuzzius,10.0,branch,82.99782271889735,17.050939154802684,0.0,100.0,107
confuzzius,12.0,code,83.53588744482532,18.338055793436176,33.68711526215241,99.8330550918197,107
confuzzius,12.0,branch,83.27875284795836,16.944677771105905,0.0,100.0,107
confuzzius,14.0,code,83.7309931597847,18.195662224547032,33.68711526215241,99.8330550918197,107
confuzzius,14.0,branch,83.61039693077066,16.842484542194587,0.0,100.0,107
confuzzius,16.0,code,84.12391100021377,18.125164040775257,33.71895563574613,99.8330550918197,107
confuzzius,16.0,branch,83.94760420330262,16.73613978597836,0.0,100.0,107
confuzzius,18.0,code,84.62723174109351,18.134910419738624,33.71895563574613,99.8330550918197,107
confuzzius,18.0,branch,84.31540942507982,16.760828508380303,0.0,100.0,107
confuzzius,20.0,code,84.91865534892757,18.199237276399526,33.71895563574613,99.8330550918197,107
confuzzius,20.0,branch,84.85168000807937,16.768919810948038,0.0,100.0,107
confuzzius,22.0,code,85.53872744083402,17.97483861093702,33.71895563574613,99.8330550918197,107
confuzzius,22.0,branch,85.34918872988715,16.718413478910414,0.0,100.0,107
confuzzius,24.0,code,86.01471529458325,17.91696722673425,33.71895563574613,99.8330550918197,107
